defaulted;term;property_type;annual_income;number_of_children;number_of_family_members;own_car;own_realty;gender;years_employed;age;currently_employed;family_status;credit_amount
no;8;house;61600.0;2;3;True;True;male;30;58;True;divorced;136000.0
no;13;apartment;95200.0;1;1;True;True;male;30;55;True;single;550000.0
no;14;house;71000.0;2;1;True;True;male;30;71;False;divorced;312000.0
no;8;house;124900.0;1;2;True;True;male;30;65;False;single;208000.0
no;15;apartment;85200.0;2;2;True;False;male;30;52;True;single;544000.0
no;16;apartment;87300.0;1;1;False;True;male;30;67;True;single;506850.0
no;20;apartment;61400.0;1;2;True;False;male;16;41;True;single;304000.0
no;21;house;86500.0;2;2;False;False;male;24;45;True;divorced;638000.0
no;24;apartment;63700.0;0;1;True;True;male;21;45;True;single;261000.0
no;26;apartment;107900.0;1;1;False;True;male;21;42;True;divorced;723000.0
no;23;house;70500.0;2;2;True;True;male;24;47;True;single;736000.0
no;13;house;99600.0;1;1;False;False;male;30;63;True;widowed;615000.0
no;11;house;77700.0;0;1;True;False;female;30;53;True;widowed;198000.0
no;15;house;77500.0;2;2;False;False;male;30;65;True;married;364000.0
no;15;apartment;117500.0;0;1;True;False;male;25;44;True;single;572000.0
no;10;house;90000.0;0;1;True;False;male;30;59;True;married;205809.0
no;11;house;77400.0;2;3;True;False;male;30;66;False;married;181443.0
no;23;apartment;68100.0;1;1;True;False;male;20;41;True;married;597060.0
no;26;apartment;89700.0;1;1;True;False;female;21;44;True;married;664000.0
yes;11;apartment;65600.0;1;1;False;False;female;30;79;False;married;282000.0
no;9;apartment;72400.0;1;2;True;False;male;30;74;False;married;228000.0
no;13;apartment;81900.0;0;1;True;False;male;30;56;True;married;228000.0
no;11;apartment;109000.0;2;3;True;False;male;27;52;True;married;302000.0
no;26;apartment;118300.0;1;2;True;True;male;18;41;True;single;788000.0
no;10;house;115300.0;2;1;False;True;male;30;55;True;single;572694.0
no;25;house;98200.0;0;1;True;True;male;17;41;True;married;577000.0
yes;22;house;90100.0;2;2;False;False;female;29;47;True;divorced;1020768.0
no;28;apartment;116300.0;2;3;True;True;male;19;41;True;divorced;1057000.0
no;17;house;69000.0;1;1;True;False;female;30;51;True;married;348000.0
no;18;house;87700.0;1;1;True;False;female;26;47;True;widowed;644676.0
no;20;house;90500.0;0;1;True;True;female;28;48;True;married;464000.0
no;12;house;68100.0;1;2;True;False;female;30;57;True;divorced;278000.0
no;11;house;103500.0;2;3;True;True;male;30;52;True;single;305000.0
no;21;house;85300.0;1;1;True;True;male;26;49;True;divorced;790000.0
no;5;house;145900.0;0;1;False;False;male;30;67;True;widowed;200000.0
no;15;apartment;67400.0;2;3;True;True;male;30;74;False;single;216000.0
no;21;apartment;85100.0;2;2;True;True;male;30;53;True;divorced;462210.0
no;19;house;95200.0;2;1;True;True;female;18;45;True;divorced;515000.0
no;12;apartment;66200.0;1;2;False;False;female;18;42;True;single;177000.0
no;30;apartment;82400.0;0;1;True;True;female;20;43;True;married;405000.0
yes;19;apartment;90300.0;0;1;False;False;female;20;46;True;married;535000.0
no;11;house;62800.0;2;1;True;True;male;30;73;False;widowed;184000.0
no;17;apartment;73100.0;1;2;True;False;male;30;55;True;widowed;406000.0
no;25;house;150700.0;0;1;False;True;female;17;43;True;divorced;801000.0
no;19;house;66600.0;2;2;False;True;male;26;47;True;single;471000.0
no;14;house;96600.0;1;2;True;True;female;30;50;True;married;456000.0
no;12;apartment;67400.0;1;1;True;False;female;30;66;True;widowed;233000.0
no;12;house;85100.0;2;1;True;True;male;30;53;True;married;492000.0
yes;9;house;66600.0;3;3;True;False;female;30;63;True;single;254000.0
no;5;house;75100.0;2;1;False;True;male;30;58;True;married;133000.0
no;25;house;85400.0;2;1;True;True;male;17;43;True;married;548000.0
no;8;house;116700.0;2;1;False;True;female;30;58;True;married;321000.0
no;6;apartment;99600.0;2;2;True;False;male;30;79;False;single;188000.0
no;27;apartment;64900.0;3;4;False;False;male;15;41;True;married;328476.0
no;18;apartment;99900.0;0;1;False;True;male;22;44;True;married;545000.0
no;13;house;68400.0;1;1;False;True;female;27;48;True;divorced;404457.0
yes;18;house;74500.0;2;3;False;False;male;28;50;True;single;488000.0
no;18;apartment;87600.0;2;1;True;True;female;19;43;True;divorced;484000.0
no;15;house;102800.0;1;1;False;False;male;25;47;True;divorced;577000.0
no;14;apartment;70900.0;1;1;True;False;male;25;48;True;married;313000.0
no;6;house;64700.0;2;2;True;True;female;30;53;True;married;169000.0
no;28;apartment;90400.0;0;1;True;False;female;19;41;True;single;721000.0
no;12;house;83500.0;1;1;False;False;male;30;54;True;single;336000.0
no;14;house;82900.0;2;2;True;False;male;30;55;True;married;483000.0
no;5;house;87400.0;1;1;True;False;male;30;66;True;married;171000.0
no;11;apartment;81900.0;2;1;True;True;female;30;55;True;married;299000.0
no;11;house;76800.0;1;2;False;True;male;30;57;True;single;194000.0
no;28;apartment;61700.0;2;2;False;False;male;20;41;True;divorced;620000.0
no;21;house;71700.0;1;1;False;True;male;25;48;True;divorced;611289.0
no;16;apartment;72200.0;1;1;True;True;male;25;47;True;widowed;426000.0
no;10;apartment;74400.0;2;2;True;False;female;30;53;True;widowed;332000.0
no;19;apartment;66700.0;2;2;True;False;male;23;46;True;widowed;615288.0
no;19;apartment;85100.0;2;2;False;True;female;25;51;True;single;699000.0
no;14;house;63400.0;1;1;True;True;male;27;52;True;married;290000.0
no;15;apartment;96000.0;1;1;False;True;female;30;55;True;single;657000.0
no;10;house;78700.0;2;2;True;True;female;30;60;True;married;191000.0
no;23;house;74000.0;2;1;True;True;female;15;41;True;married;469000.0
no;16;house;79400.0;2;3;False;True;male;26;51;True;married;274722.0
no;7;apartment;138500.0;0;1;False;False;male;30;69;False;single;188000.0
no;28;apartment;99600.0;1;1;True;False;female;16;42;True;widowed;780000.0
no;14;apartment;67400.0;2;1;False;True;male;23;47;True;single;268000.0
no;5;house;70100.0;0;1;True;True;male;30;65;True;married;71000.0
no;12;apartment;64200.0;2;2;True;True;male;30;53;True;single;193000.0
no;15;house;85600.0;1;2;False;False;male;27;48;True;divorced;317000.0
no;5;house;64000.0;2;2;True;True;male;30;54;True;divorced;143000.0
yes;22;apartment;103500.0;3;3;True;False;male;28;48;True;married;851000.0
no;8;house;108800.0;2;2;True;True;female;30;58;True;single;235000.0
no;13;apartment;97600.0;0;1;False;True;male;29;52;True;married;223014.0
yes;22;apartment;71000.0;2;2;False;False;male;24;43;True;married;496000.0
no;17;house;91000.0;2;3;False;False;female;27;48;True;single;310000.0
no;8;house;67100.0;1;1;False;True;female;30;62;True;married;194000.0
no;19;apartment;80700.0;1;1;True;False;female;24;49;True;divorced;659000.0
no;14;apartment;107700.0;3;3;False;True;male;30;48;True;single;523032.0
yes;10;house;74500.0;0;1;False;True;female;30;51;True;single;162000.0
no;20;house;101100.0;2;3;True;True;male;21;44;True;married;716658.0
yes;6;apartment;82100.0;2;3;False;False;female;30;55;True;divorced;141000.0
no;15;house;70600.0;1;1;True;True;male;30;54;True;single;420732.0
no;14;house;102400.0;0;1;True;True;female;29;49;True;single;409572.0
no;6;house;71400.0;1;2;True;True;female;30;59;True;divorced;122000.0
no;20;apartment;76100.0;3;3;True;True;female;17;41;True;single;422000.0
no;11;apartment;94100.0;1;1;True;True;female;29;52;True;married;359000.0
no;9;apartment;96000.0;1;2;True;True;male;30;71;False;married;286000.0
no;14;house;107400.0;1;2;True;True;male;30;67;False;married;287000.0
no;19;apartment;66000.0;2;1;False;True;female;26;45;True;single;512895.0
no;15;apartment;110800.0;0;1;True;True;male;25;49;True;married;426000.0
no;11;house;80300.0;3;4;True;True;female;30;68;False;married;156000.0
no;6;apartment;92900.0;1;2;True;True;male;30;59;True;married;186000.0
no;19;house;71800.0;3;3;True;False;female;26;49;True;single;368001.0
no;18;house;110000.0;3;4;True;False;male;24;51;True;divorced;569000.0
no;19;apartment;85500.0;2;2;False;False;female;20;42;True;married;465279.0
no;20;apartment;71900.0;1;1;True;False;male;22;46;True;single;596000.0
no;16;apartment;63300.0;3;4;True;True;male;21;45;True;married;210000.0
no;9;house;90500.0;2;3;True;True;male;30;60;True;divorced;214000.0
no;20;apartment;73800.0;1;1;True;False;male;21;46;True;widowed;685000.0
no;10;apartment;110000.0;1;2;True;False;female;30;76;False;divorced;395343.0
no;23;apartment;89000.0;3;3;True;False;female;19;43;True;married;660000.0
no;7;apartment;90100.0;2;2;False;True;male;23;50;True;divorced;247000.0
no;12;apartment;62900.0;1;1;True;False;male;30;51;True;married;294000.0
no;8;apartment;80300.0;1;2;False;False;male;30;54;True;single;247000.0
no;26;house;64400.0;2;2;True;False;male;18;42;True;married;669042.0
no;24;apartment;66300.0;2;2;False;False;male;24;45;True;single;359000.0
no;9;apartment;105500.0;2;2;True;True;female;29;51;True;divorced;247380.0
no;14;house;78000.0;1;1;False;False;male;30;58;True;divorced;263000.0
no;14;apartment;105500.0;2;1;True;True;female;30;76;False;widowed;585000.0
no;7;apartment;110400.0;0;1;False;True;female;30;59;True;divorced;198000.0
no;29;house;96300.0;3;3;True;False;male;21;42;True;divorced;888987.0
yes;26;house;78100.0;3;2;False;False;male;25;44;True;divorced;789000.0
no;12;apartment;65400.0;1;1;True;False;female;30;57;True;single;235000.0
yes;17;house;70400.0;3;4;False;False;male;24;43;True;divorced;415000.0
no;10;apartment;72300.0;2;1;False;True;male;30;58;True;married;213000.0
no;15;apartment;74200.0;1;2;True;False;male;30;78;False;single;375069.0
no;9;house;90700.0;1;1;True;False;male;30;70;False;single;366978.0
no;14;apartment;60800.0;2;2;True;False;male;24;50;True;single;351000.0
no;12;house;116200.0;1;1;True;True;female;27;54;True;divorced;506000.0
no;20;house;102200.0;0;1;False;False;female;28;50;True;single;564000.0
no;17;house;90700.0;3;2;True;True;male;24;47;True;married;571000.0
no;11;apartment;114400.0;2;2;False;True;male;30;61;True;divorced;323000.0
no;21;apartment;85300.0;2;3;False;False;female;30;52;True;married;444000.0
no;16;house;84900.0;2;3;False;False;male;24;47;True;married;341000.0
no;11;house;90000.0;2;3;True;False;male;30;57;True;single;346000.0
no;9;apartment;100400.0;2;1;True;True;male;30;57;True;married;303000.0
no;9;apartment;81300.0;1;1;True;True;female;30;75;False;married;303000.0
yes;13;house;70300.0;2;3;False;False;female;30;76;False;widowed;307000.0
no;19;apartment;64400.0;2;3;False;False;male;28;50;True;single;377000.0
no;18;house;114100.0;1;2;True;True;female;23;50;True;divorced;731000.0
no;12;apartment;84400.0;2;1;True;True;male;30;67;True;divorced;322000.0
no;21;house;84900.0;3;4;False;True;female;25;46;True;single;525078.0
no;8;house;103400.0;0;1;False;True;female;29;55;True;divorced;226000.0
no;5;apartment;85200.0;2;2;False;True;male;30;64;True;married;110000.0
no;8;house;61200.0;2;2;True;False;male;30;74;False;married;138000.0
no;13;apartment;92800.0;2;1;False;True;male;30;67;True;single;484000.0
no;6;house;66900.0;1;2;True;False;male;30;67;True;divorced;83000.0
no;16;apartment;102200.0;2;3;False;False;male;29;50;True;single;442000.0
no;6;house;61200.0;2;1;True;True;male;25;54;True;married;93279.0
no;9;house;115100.0;3;4;True;False;male;30;52;True;single;292000.0
no;16;house;68700.0;1;1;True;True;male;30;75;False;divorced;383000.0
no;14;house;79100.0;1;2;True;False;female;26;49;True;married;312000.0
no;18;apartment;72500.0;2;2;False;False;male;25;46;True;single;514000.0
no;22;house;96100.0;1;1;True;False;female;19;43;True;single;994449.0
no;19;house;69000.0;1;1;False;False;female;30;56;True;widowed;427000.0
no;13;apartment;99400.0;0;1;True;True;male;30;53;True;married;349680.0
no;14;apartment;60800.0;0;1;True;False;male;30;77;False;married;127000.0
no;22;house;99600.0;2;2;False;False;female;24;46;True;married;545352.0
no;19;house;74600.0;3;3;False;False;male;25;48;True;single;549000.0
yes;22;apartment;64600.0;2;2;True;False;male;25;44;True;divorced;579000.0
no;9;house;82500.0;2;1;True;True;female;30;56;True;single;293000.0
no;10;house;112600.0;1;2;False;False;male;30;68;False;married;245000.0
no;24;apartment;92700.0;1;1;False;False;female;20;44;True;divorced;1078000.0
no;22;house;115200.0;3;4;True;False;female;25;46;True;married;609000.0
no;22;apartment;78200.0;1;2;False;False;male;20;42;True;divorced;459234.0
no;7;apartment;101800.0;1;2;True;True;female;30;75;False;married;226000.0
no;15;house;94200.0;2;3;True;True;female;25;48;True;single;459000.0
no;12;house;81300.0;1;1;False;True;female;27;48;True;married;440000.0
no;13;house;93500.0;1;1;True;False;male;30;68;False;widowed;305000.0
no;12;apartment;129800.0;1;2;False;True;male;30;75;False;married;387000.0
no;16;apartment;64600.0;2;2;False;True;female;28;48;True;single;442000.0
no;5;apartment;75900.0;3;3;False;True;male;30;62;True;divorced;167000.0
no;20;house;63200.0;2;2;False;True;female;28;46;True;married;617334.0
no;7;house;99900.0;2;1;True;True;female;30;56;True;married;246000.0
no;18;house;76000.0;1;1;False;True;female;22;44;True;divorced;367000.0
no;19;house;81600.0;3;3;True;True;female;29;48;True;single;612000.0
no;16;apartment;116500.0;2;2;False;True;male;21;42;True;married;520000.0
no;16;house;80200.0;2;2;True;False;male;24;49;True;single;472000.0
no;15;house;93700.0;1;2;False;False;male;30;63;True;single;319000.0
no;17;house;131600.0;2;3;False;True;male;30;53;True;single;796000.0
no;10;apartment;102100.0;1;1;False;False;female;26;52;True;married;279744.0
no;5;apartment;122600.0;0;1;False;True;male;30;75;False;married;208000.0
no;20;apartment;76300.0;0;1;False;False;female;29;51;True;divorced;434000.0
no;8;apartment;60000.0;2;1;False;False;male;30;54;True;widowed;114000.0
no;22;apartment;104300.0;1;1;True;True;male;26;46;True;divorced;543306.0
no;18;house;98500.0;2;3;True;True;male;30;56;True;divorced;590000.0
yes;6;house;60400.0;3;2;False;False;female;30;54;True;married;179000.0
no;12;house;71500.0;1;1;False;True;male;18;46;True;widowed;207000.0
yes;23;house;89000.0;0;1;False;False;female;28;44;True;married;574000.0
no;7;house;69400.0;2;2;False;False;male;30;59;True;divorced;180000.0
no;22;apartment;95600.0;2;1;False;False;male;22;45;True;widowed;868713.0
no;10;apartment;85200.0;2;1;True;False;female;30;55;True;single;316000.0
no;14;house;111900.0;2;2;True;False;male;30;58;True;widowed;653000.0
no;5;apartment;74700.0;1;2;False;True;female;30;65;True;widowed;70000.0
no;10;house;77100.0;2;2;True;True;female;30;67;True;single;282813.0
no;11;house;76600.0;1;1;True;False;male;30;76;False;divorced;301041.0
yes;17;apartment;85500.0;2;3;False;True;female;23;49;True;divorced;447051.0
yes;12;house;77800.0;1;2;False;False;female;30;59;True;divorced;302000.0
no;8;house;118400.0;3;4;True;True;male;30;74;False;married;248310.0
no;5;house;82700.0;1;1;False;True;female;30;61;True;married;167000.0
no;9;apartment;106800.0;2;2;False;False;female;30;52;True;divorced;329000.0
no;18;house;80400.0;3;4;False;True;male;20;43;True;divorced;316000.0
no;8;apartment;99600.0;0;1;True;False;female;30;57;True;single;168000.0
no;8;apartment;93700.0;2;3;False;True;female;30;52;True;widowed;292000.0
no;18;apartment;104500.0;0;1;True;True;male;23;45;True;married;491000.0
yes;11;house;66000.0;3;4;True;False;male;30;73;False;married;160000.0
no;5;house;76500.0;1;1;False;True;male;30;58;True;married;178374.0
no;26;house;149000.0;2;3;True;True;male;21;42;True;married;1547000.0
no;10;apartment;93000.0;1;1;True;False;male;21;46;True;married;286905.0
yes;16;house;81500.0;2;3;True;True;female;26;48;True;married;337000.0
no;20;house;70500.0;2;3;False;True;male;24;45;True;married;320292.0
no;9;house;89800.0;2;1;True;True;male;28;51;True;married;261516.0
no;13;apartment;71300.0;1;1;True;False;male;23;45;True;divorced;336000.0
no;9;house;127000.0;2;2;True;True;female;30;72;False;divorced;276000.0
no;23;house;98900.0;2;3;False;False;male;19;42;True;widowed;801000.0
no;19;house;60400.0;3;2;True;True;male;30;53;True;single;327453.0
no;19;apartment;70300.0;0;1;False;True;male;17;41;False;married;286000.0
yes;24;house;61200.0;1;1;False;False;male;25;44;True;divorced;436000.0
no;19;apartment;127500.0;1;1;True;False;male;21;44;True;divorced;575000.0
no;11;house;106300.0;1;2;False;False;male;27;50;True;single;374000.0
no;8;house;65800.0;2;1;True;True;male;30;54;True;single;206000.0
no;13;house;96100.0;2;2;True;True;male;30;54;True;divorced;553000.0
no;25;house;76800.0;1;1;True;True;male;18;43;True;divorced;522000.0
no;15;house;65500.0;2;1;True;True;male;30;71;False;divorced;235000.0
no;17;house;70400.0;4;4;False;False;male;30;74;False;divorced;328000.0
no;7;apartment;87000.0;1;1;False;False;female;28;51;True;married;267000.0
no;9;apartment;95200.0;0;1;True;False;male;30;54;True;single;265000.0
no;23;apartment;77100.0;2;1;True;True;male;20;46;True;married;484000.0
no;11;house;77500.0;3;3;True;False;male;30;61;True;divorced;368000.0
no;19;apartment;67000.0;2;2;True;True;female;19;41;True;single;499000.0
no;22;apartment;69600.0;2;3;False;True;male;20;42;True;divorced;413000.0
no;12;apartment;71900.0;1;2;False;True;female;30;66;True;single;225000.0
no;21;apartment;73000.0;1;2;False;True;male;15;41;True;married;389000.0
no;12;apartment;78300.0;1;1;True;False;male;30;57;True;married;324000.0
no;22;apartment;72900.0;1;1;False;True;male;23;45;True;single;475000.0
no;28;apartment;120700.0;0;1;True;True;male;19;44;True;married;1047000.0
no;7;house;88700.0;1;1;False;True;female;30;53;True;single;192000.0
no;5;apartment;81900.0;2;2;False;False;male;30;61;True;widowed;148000.0
no;15;house;92900.0;2;2;True;True;male;25;51;True;divorced;562650.0
no;7;house;80200.0;1;1;True;True;male;30;66;True;single;160000.0
no;23;house;62200.0;2;1;False;True;male;22;44;True;married;537000.0
no;12;apartment;72300.0;2;1;False;True;male;28;50;True;widowed;379161.0
no;14;house;65400.0;1;1;False;True;male;18;43;True;married;376000.0
no;11;apartment;108400.0;1;2;True;True;male;30;57;True;divorced;389000.0
no;14;apartment;92100.0;2;3;True;False;male;30;68;False;married;237000.0
no;6;apartment;74700.0;1;2;True;True;male;30;74;False;married;125000.0
no;32;apartment;75500.0;3;3;True;False;male;24;46;True;divorced;1135000.0
no;22;house;110500.0;0;1;False;False;male;18;41;True;married;690000.0
no;5;house;72400.0;2;3;False;True;male;30;70;False;married;69000.0
no;6;apartment;64000.0;2;3;False;True;female;30;71;False;divorced;107000.0
no;18;apartment;101400.0;0;1;True;True;male;27;48;True;single;332000.0
no;13;house;115000.0;2;3;True;False;male;30;60;True;married;531000.0
no;18;house;77600.0;3;3;True;True;male;18;42;True;married;648768.0
no;6;apartment;79200.0;2;3;True;False;male;30;75;False;married;157170.0
no;10;house;103600.0;1;1;True;False;male;30;67;True;single;434000.0
no;29;apartment;106100.0;0;1;True;True;male;18;44;True;single;701000.0
no;24;apartment;73400.0;1;2;True;True;male;22;42;True;widowed;334000.0
no;28;apartment;78700.0;1;2;False;False;male;19;42;True;single;522000.0
no;25;apartment;65700.0;3;2;True;False;female;20;43;True;married;425000.0
no;16;apartment;68600.0;1;1;True;True;female;30;73;False;divorced;520000.0
no;12;house;62800.0;1;2;True;False;female;28;52;True;single;179000.0
no;12;apartment;87200.0;2;3;False;True;male;27;51;True;married;332000.0
no;15;house;60300.0;2;1;False;False;male;30;51;True;divorced;274000.0
no;29;house;73100.0;2;2;False;False;male;26;45;True;divorced;952000.0
no;12;house;122800.0;2;3;True;False;female;30;75;False;single;564000.0
no;13;house;82700.0;2;2;False;False;male;30;58;True;married;314000.0
no;11;apartment;75100.0;0;1;False;True;male;28;54;True;single;187000.0
no;20;house;115400.0;1;1;True;True;female;17;43;True;single;954000.0
yes;24;house;74600.0;4;4;True;False;female;20;43;True;single;905262.0
no;12;house;70400.0;2;1;True;True;male;30;68;False;widowed;352000.0
no;13;house;76500.0;3;4;True;True;male;30;62;True;divorced;214000.0
no;22;house;84400.0;0;1;True;True;male;20;44;True;divorced;562000.0
no;22;apartment;84400.0;1;1;True;False;male;20;43;True;married;873000.0
no;16;house;84000.0;0;1;True;True;male;22;46;True;married;303000.0
yes;5;house;63000.0;2;1;False;False;female;30;71;False;divorced;161169.0
no;11;house;76000.0;2;3;False;True;female;30;71;False;married;267000.0
no;19;house;135400.0;3;2;False;False;male;23;49;True;married;947000.0
no;24;apartment;83400.0;2;2;False;True;male;26;46;True;married;914000.0
no;7;apartment;85900.0;1;1;True;False;male;30;53;True;married;199000.0
no;21;house;80900.0;2;2;True;True;male;24;45;True;divorced;509000.0
no;22;house;84400.0;2;2;False;False;female;21;41;True;married;497736.0
no;17;house;104700.0;2;1;True;False;male;30;52;True;married;803000.0
no;7;house;73900.0;1;1;False;False;female;30;63;True;married;203763.0
no;9;house;104600.0;1;1;True;False;male;30;70;False;single;282000.0
no;23;apartment;80500.0;0;1;True;False;male;17;43;True;married;385000.0
no;19;apartment;63300.0;1;1;True;False;female;24;45;True;single;497000.0
no;17;apartment;83100.0;2;2;False;False;male;28;51;True;married;424000.0
no;11;apartment;89200.0;2;1;True;True;female;27;49;True;divorced;276000.0
no;15;house;114100.0;2;3;True;False;female;30;55;True;married;370977.0
no;15;apartment;72700.0;1;1;True;False;male;27;50;True;single;470000.0
no;10;apartment;98200.0;2;3;True;True;male;30;56;True;married;264000.0
no;19;apartment;104300.0;2;3;True;True;male;30;54;True;married;512000.0
no;7;apartment;62900.0;2;3;True;True;male;30;65;True;divorced;119000.0
no;13;apartment;116600.0;1;1;True;False;male;30;62;False;single;689000.0
no;9;house;83500.0;1;1;False;False;male;30;54;True;single;222000.0
yes;17;apartment;98600.0;1;2;False;False;male;30;78;False;single;456000.0
no;8;apartment;76400.0;1;1;True;False;female;30;73;False;divorced;259000.0
no;15;apartment;71600.0;1;1;True;True;male;30;54;True;divorced;378000.0
no;13;house;72200.0;0;1;True;True;female;28;51;True;divorced;192000.0
yes;10;house;61700.0;2;2;False;False;male;30;58;True;single;243288.0
no;11;apartment;67700.0;2;2;True;True;male;30;66;True;single;318000.0
no;22;house;73200.0;1;2;True;True;male;21;46;True;divorced;317000.0
no;17;house;136000.0;1;1;True;False;male;17;41;True;divorced;1060000.0
no;30;apartment;85600.0;1;1;True;True;male;23;42;True;married;947000.0
no;12;apartment;118700.0;1;1;False;True;male;26;50;True;widowed;370000.0
no;13;apartment;73100.0;2;3;True;True;female;27;52;True;married;267000.0
no;21;house;78600.0;2;1;True;True;female;22;47;True;married;738000.0
yes;5;apartment;86700.0;2;3;False;True;female;30;60;True;single;157000.0
no;25;house;63100.0;0;1;True;False;male;28;48;False;married;207000.0
no;22;apartment;74800.0;1;2;False;False;female;19;44;True;married;334000.0
no;5;house;84900.0;2;1;False;False;male;30;79;False;married;118000.0
no;28;apartment;87600.0;2;2;True;False;male;22;43;True;single;673000.0
no;20;apartment;92500.0;0;1;True;False;male;23;48;True;married;389000.0
no;9;house;68500.0;2;3;False;False;male;29;55;True;widowed;165000.0
no;14;apartment;86600.0;2;2;True;False;male;30;78;False;married;304000.0
no;6;house;86700.0;3;3;True;True;male;30;59;True;married;209000.0
no;10;apartment;62000.0;1;1;True;False;male;30;51;True;married;262000.0
no;15;house;72700.0;0;1;True;True;male;25;46;True;single;290000.0
no;7;house;122700.0;0;1;True;True;male;30;74;False;single;294000.0
no;9;house;77000.0;2;2;True;True;female;24;48;True;widowed;311178.0
no;17;house;78300.0;3;3;True;True;male;30;61;True;married;501000.0
no;11;apartment;108100.0;2;2;False;True;male;30;59;True;married;451000.0
no;12;apartment;62400.0;1;2;True;True;male;30;61;True;divorced;208000.0
